Facility,Lat,Long,Archetype
Sample Residence,14.270525638943461,121.07005336231478,residential
Sample Residence_Point_1,14.24260030107877,121.0588869792527,residential
Sample Residence_Point_2,14.25160931008778,121.0588869792527,residential
Sample Residence_Point_3,14.260618319096789,121.0588869792527,residential
Sample Residence_Point_4,14.269627328105798,121.0588869792527,residential
Sample Residence_Point_5,14.278636337114808,121.0588869792527,residential
Sample Residence_Point_6,14.25160931008778,121.06789598826171,residential
Sample Residence_Point_7,14.260618319096789,121.06789598826171,residential
Sample Residence_Point_8,14.269627328105798,121.06789598826171,residential
Sample Residence_Point_9,14.278636337114808,121.06789598826171,residential
Sample Residence_Point_10,14.287645346123817,121.06789598826171,residential
Sample Residence_Point_11,14.260618319096789,121.07690499727072,residential
Sample Residence_Point_12,14.269627328105798,121.07690499727072,residential
Sample Residence_Point_13,14.278636337114808,121.07690499727072,residential
Sample Residence_Point_14,14.287645346123817,121.07690499727072,residential
Sample Residence_Point_15,14.269627328105798,121.08591400627972,residential
Sample Residence_Point_16,14.278636337114808,121.08591400627972,residential
Sample Residence_Point_17,14.287645346123817,121.08591400627972,residential
Sample Residence 2,14.301562741572337,121.05668300549152,residential
Sample Residence 2_Point_1,14.302004388346795,121.04319027294561,residential
Sample Residence 2_Point_2,14.302905289247695,121.04319027294561,residential
Sample Residence 2_Point_3,14.303806190148595,121.04319027294561,residential
Sample Residence 2_Point_4,14.299301685644094,121.04409117384651,residential
Sample Residence 2_Point_5,14.300202586544994,121.04409117384651,residential
Sample Residence 2_Point_6,14.301103487445895,121.04409117384651,residential
Sample Residence 2_Point_7,14.302004388346795,121.04409117384651,residential
Sample Residence 2_Point_8,14.302905289247695,121.04409117384651,residential
Sample Residence 2_Point_9,14.303806190148595,121.04409117384651,residential
Sample Residence 2_Point_10,14.297499883842294,121.04499207474741,residential
Sample Residence 2_Point_11,14.298400784743194,121.04499207474741,residential
Sample Residence 2_Point_12,14.299301685644094,121.04499207474741,residential
Sample Residence 2_Point_13,14.300202586544994,121.04499207474741,residential
Sample Residence 2_Point_14,14.301103487445895,121.04499207474741,residential
Sample Residence 2_Point_15,14.302004388346795,121.04499207474741,residential
Sample Residence 2_Point_16,14.302905289247695,121.04499207474741,residential
Sample Residence 2_Point_17,14.303806190148595,121.04499207474741,residential
Sample Residence 2_Point_18,14.304707091049496,121.04499207474741,residential
Sample Residence 2_Point_19,14.295698082040493,121.04589297564831,residential
Sample Residence 2_Point_20,14.296598982941394,121.04589297564831,residential
Sample Residence 2_Point_21,14.297499883842294,121.04589297564831,residential
Sample Residence 2_Point_22,14.298400784743194,121.04589297564831,residential
Sample Residence 2_Point_23,14.299301685644094,121.04589297564831,residential
Sample Residence 2_Point_24,14.300202586544994,121.04589297564831,residential
Sample Residence 2_Point_25,14.301103487445895,121.04589297564831,residential
Sample Residence 2_Point_26,14.302004388346795,121.04589297564831,residential
Sample Residence 2_Point_27,14.302905289247695,121.04589297564831,residential
Sample Residence 2_Point_28,14.303806190148595,121.04589297564831,residential
Sample Residence 2_Point_29,14.304707091049496,121.04589297564831,residential
Sample Residence 2_Point_30,14.305607991950396,121.04589297564831,residential
Sample Residence 2_Point_31,14.292995379337793,121.04679387654922,residential
Sample Residence 2_Point_32,14.293896280238693,121.04679387654922,residential
Sample Residence 2_Point_33,14.294797181139593,121.04679387654922,residential
Sample Residence 2_Point_34,14.295698082040493,121.04679387654922,residential
Sample Residence 2_Point_35,14.296598982941394,121.04679387654922,residential
Sample Residence 2_Point_36,14.297499883842294,121.04679387654922,residential
Sample Residence 2_Point_37,14.298400784743194,121.04679387654922,residential
Sample Residence 2_Point_38,14.299301685644094,121.04679387654922,residential
Sample Residence 2_Point_39,14.300202586544994,121.04679387654922,residential
Sample Residence 2_Point_40,14.301103487445895,121.04679387654922,residential
Sample Residence 2_Point_41,14.302004388346795,121.04679387654922,residential
Sample Residence 2_Point_42,14.302905289247695,121.04679387654922,residential
Sample Residence 2_Point_43,14.303806190148595,121.04679387654922,residential
Sample Residence 2_Point_44,14.304707091049496,121.04679387654922,residential
Sample Residence 2_Point_45,14.305607991950396,121.04679387654922,residential
Sample Residence 2_Point_46,14.306508892851296,121.04679387654922,residential
Sample Residence 2_Point_47,14.291193577535992,121.04769477745012,residential
Sample Residence 2_Point_48,14.292094478436892,121.04769477745012,residential
Sample Residence 2_Point_49,14.292995379337793,121.04769477745012,residential
Sample Residence 2_Point_50,14.293896280238693,121.04769477745012,residential
Sample Residence 2_Point_51,14.294797181139593,121.04769477745012,residential
Sample Residence 2_Point_52,14.295698082040493,121.04769477745012,residential
Sample Residence 2_Point_53,14.296598982941394,121.04769477745012,residential
Sample Residence 2_Point_54,14.297499883842294,121.04769477745012,residential
Sample Residence 2_Point_55,14.298400784743194,121.04769477745012,residential
Sample Residence 2_Point_56,14.299301685644094,121.04769477745012,residential
Sample Residence 2_Point_57,14.300202586544994,121.04769477745012,residential
Sample Residence 2_Point_58,14.301103487445895,121.04769477745012,residential
Sample Residence 2_Point_59,14.302004388346795,121.04769477745012,residential
