Facility,Lat,Long,Archetype
Sample Residence,14.269438126185065,121.0702136350092,Residential
Sample Residence_Point_1,14.24122884560973,121.06118427446428,Residential
Sample Residence_Point_2,14.250237854618739,121.06118427446428,Residential
Sample Residence_Point_3,14.259246863627748,121.06118427446428,Residential
Sample Residence_Point_4,14.268255872636757,121.06118427446428,Residential
Sample Residence_Point_5,14.277264881645767,121.06118427446428,Residential
Sample Residence_Point_6,14.250237854618739,121.07019328347329,Residential
Sample Residence_Point_7,14.259246863627748,121.07019328347329,Residential
Sample Residence_Point_8,14.268255872636757,121.07019328347329,Residential
Sample Residence_Point_9,14.277264881645767,121.07019328347329,Residential
Sample Residence_Point_10,14.286273890654776,121.07019328347329,Residential
Sample Residence_Point_11,14.259246863627748,121.0792022924823,Residential
Sample Residence_Point_12,14.268255872636757,121.0792022924823,Residential
Sample Residence_Point_13,14.277264881645767,121.0792022924823,Residential
Sample Residence_Point_14,14.286273890654776,121.0792022924823,Residential
Sample Residence_Point_15,14.295282899663786,121.0792022924823,Residential
Sample Residence_Point_16,14.268255872636757,121.0882113014913,Residential
Sample Residence_Point_17,14.277264881645767,121.0882113014913,Residential
