Facility,Lat,Long,Archetype
Sample Residence,14.269256572212875,121.06915268624552,Residential
Sample Residence_Point_1,14.23719345044046,121.05200031479724,Residential
Sample Residence_Point_2,14.23809435134136,121.05200031479724,Residential
Sample Residence_Point_3,14.23899525224226,121.05200031479724,Residential
Sample Residence_Point_4,14.23989615314316,121.05200031479724,Residential
Sample Residence_Point_5,14.24079705404406,121.05200031479724,Residential
Sample Residence_Point_6,14.24169795494496,121.05200031479724,Residential
Sample Residence_Point_7,14.242598855845861,121.05200031479724,Residential
Sample Residence_Point_8,14.243499756746761,121.05200031479724,Residential
Sample Residence_Point_9,14.244400657647661,121.05200031479724,Residential
Sample Residence_Point_10,14.245301558548562,121.05200031479724,Residential
Sample Residence_Point_11,14.246202459449462,121.05200031479724,Residential
Sample Residence_Point_12,14.247103360350362,121.05200031479724,Residential
Sample Residence_Point_13,14.248004261251262,121.05200031479724,Residential
Sample Residence_Point_14,14.248905162152163,121.05200031479724,Residential
Sample Residence_Point_15,14.249806063053063,121.05200031479724,Residential
Sample Residence_Point_16,14.250706963953963,121.05200031479724,Residential
Sample Residence_Point_17,14.251607864854863,121.05200031479724,Residential
Sample Residence_Point_18,14.252508765755763,121.05200031479724,Residential
Sample Residence_Point_19,14.253409666656664,121.05200031479724,Residential
Sample Residence_Point_20,14.254310567557564,121.05200031479724,Residential
Sample Residence_Point_21,14.255211468458464,121.05200031479724,Residential
Sample Residence_Point_22,14.256112369359364,121.05200031479724,Residential
Sample Residence_Point_23,14.257013270260265,121.05200031479724,Residential
Sample Residence_Point_24,14.257914171161165,121.05200031479724,Residential
Sample Residence_Point_25,14.258815072062065,121.05200031479724,Residential
Sample Residence_Point_26,14.259715972962965,121.05200031479724,Residential
Sample Residence_Point_27,14.260616873863865,121.05200031479724,Residential
Sample Residence_Point_28,14.261517774764766,121.05200031479724,Residential
Sample Residence_Point_29,14.262418675665666,121.05200031479724,Residential
Sample Residence_Point_30,14.263319576566566,121.05200031479724,Residential
Sample Residence_Point_31,14.264220477467466,121.05200031479724,Residential
Sample Residence_Point_32,14.265121378368367,121.05200031479724,Residential
Sample Residence_Point_33,14.266022279269267,121.05200031479724,Residential
Sample Residence_Point_34,14.266923180170167,121.05200031479724,Residential
Sample Residence_Point_35,14.267824081071067,121.05200031479724,Residential
Sample Residence_Point_36,14.268724981971967,121.05200031479724,Residential
Sample Residence_Point_37,14.269625882872868,121.05200031479724,Residential
Sample Residence_Point_38,14.270526783773768,121.05200031479724,Residential
Sample Residence_Point_39,14.271427684674668,121.05200031479724,Residential
