Facility,Lat,Long,Archetype
Sample Residence,14.270738579255365,121.0700061827763,residential
Sample Residence_Point_1,14.241226151967087,121.060414875348,residential
Sample Residence_Point_2,14.250235160976096,121.060414875348,residential
Sample Residence_Point_3,14.259244169985106,121.060414875348,residential
Sample Residence_Point_4,14.268253178994115,121.060414875348,residential
Sample Residence_Point_5,14.277262188003125,121.060414875348,residential
Sample Residence_Point_6,14.250235160976096,121.06942388435701,residential
Sample Residence_Point_7,14.259244169985106,121.06942388435701,residential
Sample Residence_Point_8,14.268253178994115,121.06942388435701,residential
Sample Residence_Point_9,14.277262188003125,121.06942388435701,residential
Sample Residence_Point_10,14.286271197012134,121.06942388435701,residential
Sample Residence_Point_11,14.259244169985106,121.07843289336601,residential
Sample Residence_Point_12,14.268253178994115,121.07843289336601,residential
Sample Residence_Point_13,14.277262188003125,121.07843289336601,residential
Sample Residence_Point_14,14.286271197012134,121.07843289336601,residential
Sample Residence_Point_15,14.295280206021143,121.07843289336601,residential
Sample Residence_Point_16,14.268253178994115,121.08744190237502,residential
Sample Residence_Point_17,14.277262188003125,121.08744190237502,residential
