Facility,Lat,Long,Archetype
Sample Residence,14.269853023478973,121.07026668474845,residential
Sample Residence_Point_1,14.24179165395876,121.05993050844928,residential
Sample Residence_Point_2,14.25080066296777,121.05993050844928,residential
Sample Residence_Point_3,14.259809671976779,121.05993050844928,residential
Sample Residence_Point_4,14.268818680985788,121.05993050844928,residential
Sample Residence_Point_5,14.277827689994798,121.05993050844928,residential
Sample Residence_Point_6,14.25080066296777,121.06893951745829,residential
Sample Residence_Point_7,14.259809671976779,121.06893951745829,residential
Sample Residence_Point_8,14.268818680985788,121.06893951745829,residential
Sample Residence_Point_9,14.277827689994798,121.06893951745829,residential
Sample Residence_Point_10,14.286836699003807,121.06893951745829,residential
Sample Residence_Point_11,14.259809671976779,121.0779485264673,residential
Sample Residence_Point_12,14.268818680985788,121.0779485264673,residential
Sample Residence_Point_13,14.277827689994798,121.0779485264673,residential
Sample Residence_Point_14,14.286836699003807,121.0779485264673,residential
Sample Residence_Point_15,14.277827689994798,121.0869575354763,residential
Sample Residence_Point_16,14.286836699003807,121.0869575354763,residential
